raw offset	Play89_2.dmp	Play89_3.dmp	Play89_4.dmp	Play89_5.dmp
01A3BCC1h:	31	79	2C	00
01A3BCC4h:	31	28	2C	00
01A3BCC5h:	31	30	2D	00
01A3BCC7h:	32	20	2E	00
01A3BCC9h:	31	44	39	00
01A3BCCAh:	31	3A	35	00
01A3BCCBh:	31	20	30	00
01A3BCCDh:	31	2C	30	00
01A3BCCEh:	31	20	2C	00
01A3BCCFh:	31	20	2D	00
01A3BCD1h:	31	61	2E	00
01A3BCD2h:	31	6C	38	00
01A3BCD3h:	31	6C	30	00
01A3BCD4h:	31	73	33	00
01A3BCD6h:	31	6E	35	00
01A3BCD7h:	31	50	36	00
01A3BCD9h:	31	63	2D	00
01A3BCDBh:	31	65	2C	00
01A3BCDEh:	31	30	2D	00
01A3BCE1h:	31	53	2D	FE
01A3BCE3h:	31	6F	2E	4E
01A3BCE4h:	31	72	38	00
01A3BCE6h:	31	3D	37	00
01A3BCE7h:	31	30	38	88
01A3BCEAh:	31	42	2C	8D
01A3BCEBh:	31	61	30	02
01A3BCECh:	31	6C	2E	30
01A3BCEEh:	31	47	30	8D
01A3BCF0h:	31	6F	39	30
01A3BCF1h:	31	75	37	C4
01A3BCF3h:	31	3D	2C	02
01A3BCF4h:	31	30	2D	00
01A3BCF6h:	31	0D	2C	00
01A3BCF8h:	31	50	2C	00
01A3BCFBh:	31	79	2C	00
01A3BCFCh:	31	65	2D	00
01A3BCFDh:	31	72	32	00
01A3BD00h:	31	29	38	00
01A3BD01h:	31	20	32	00
01A3BD02h:	31	49	35	00
01A3BD04h:	31	3A	34	00
01A3BD06h:	31	32	2D	00
01A3BD07h:	31	2C	30	00
01A3BD09h:	31	20	30	00
01A3BD0Ah:	31	42	37	00
01A3BD0Ch:	31	6C	38	00
01A3BD0Dh:	31	6C	30	00
01A3BD10h:	31	6E	2D	00
01A3BD12h:	31	6F	2C	00
01A3BD14h:	31	6B	2C	01
01A3BD15h:	31	65	2D	01
01A3BD17h:	31	3D	2C	00
01A3BD19h:	31	20	2E	FE
01A3BD1Ah:	31	20	35	02
01A3BD1Bh:	31	53	32	4E
01A3BD1Ch:	31	63	36	00
01A3BD1Dh:	31	6F	33	00
01A3BD1Fh:	31	65	30	88
01A3BD20h:	31	3D	2C	68
01A3BD22h:	31	20	2E	8D
01A3BD23h:	31	20	36	02
01A3BD25h:	31	61	35	C4
01A3BD27h:	31	6C	39	02
01A3BD29h:	31	72	2C	C4
01A3BD2Ch:	31	70	2C	00
01A3BD2Dh:	32	3D	31	00
01A3BD2Eh:	31	30	2C	00
01A3BD35h:	31	62	38	00
01A3BD37h:	31	65	37	00
01A3BD38h:	31	20	38	00
01A3BD39h:	31	53	38	00
01A3BD3Bh:	31	61	2C	00
01A3BD3Ch:	31	74	2D	00
01A3BD3Dh:	31	65	30	00
01A3BD3Eh:	31	3A	2E	00
01A3BD3Fh:	31	20	32	00
01A3BD40h:	31	76	39	00
01A3BD42h:	31	2C	39	00
01A3BD45h:	31	2D	2C	00
01A3BD4Ah:	31	36	2C	00
01A3BD4Eh:	31	2C	2D	00
01A3BD51h:	31	2E	34	FE
01A3BD55h:	31	32	36	00
01A3BD56h:	31	35	37	00
01A3BD59h:	31	2D	30	C4
01A3BD5Bh:	31	2C	30	02
01A3BD5Dh:	31	2C	39	C4
01A3BD5Eh:	31	2D	30	8D
01A3BD60h:	31	2C	39	A0
01A3BD62h:	31	30	2D	8D
01A3BD64h:	31	37	2C	00
01A3BD67h:	31	39	2D	00
01A3BD69h:	31	39	2C	00
01A3BD6Ah:	31	2C	2D	00
01A3BD6Dh:	31	2E	36	00
01A3BD74h:	31	2C	30	00
01A3BD7Ah:	32	2D	37	00
01A3BD81h:	31	39	2C	00
01A3BD82h:	31	35	2D	00
01A3BD84h:	31	34	2C	01
01A3BD86h:	31	2C	2E	00
01A3BD87h:	31	2D	36	00
01A3BD89h:	31	2E	33	FE
01A3BD8Ah:	31	38	33	02
01A3BD8Bh:	31	30	35	4E
01A3BD8Eh:	31	35	2D	00
01A3BD8Fh:	31	36	30	88
01A3BD90h:	31	2C	2E	D8
01A3BD91h:	31	2D	34	C4
01A3BD96h:	31	2D	35	8D
01A3BDA2h:	31	2C	2E	00
01A3BDA3h:	31	30	38	00
01A3BDA6h:	31	30	38	00
01A3BDA7h:	31	30	38	00
01A3BDACh:	31	2D	2E	00
01A3BDAEh:	31	2C	39	00
01A3BDB0h:	31	2C	30	00
01A3BDB1h:	31	2D	30	00
01A3BDB8h:	31	38	2C	00
01A3BDBCh:	31	34	32	01
01A3BDBDh:	31	2C	2E	01
01A3BDBFh:	31	30	34	00
01A3BDC0h:	31	2E	35	14
01A3BDC4h:	31	38	2C	00
01A3BDC6h:	31	37	2E	00
01A3BDC8h:	31	2D	34	10
01A3BDCAh:	31	2C	32	8D
01A3BDCDh:	31	2D	2C	C5
01A3BDD3h:	31	32	2C	02
01A3BDD4h:	31	36	30	00
01A3BDD5h:	31	33	2E	00
01A3BDD8h:	31	2C	38	00
01A3BDDAh:	31	2E	30	00
01A3BDDBh:	31	36	30	00
01A3BDDCh:	31	33	2C	00
01A3BDDDh:	31	35	2D	00
01A3BDDFh:	31	39	2E	00
01A3BDE1h:	31	2C	38	00
01A3BDE4h:	31	2C	30	00
01A3BDECh:	31	2E	2D	00
01A3BDEFh:	31	37	2D	00
